"location","failed filters","passed filters","snps","mnps","insertions","deletions","indels","breakends","symbolic svs","same as reference","phased genotypes","snp transitions/transversions","total het/hom ratio","snp het/hom ratio","mnp het/hom ratio","insertion het/hom ratio","deletion het/hom ratio","indel het/hom ratio","breakend het/hom ratio","symbolic sv het/hom ratio","insertion/deletion ratio","indel/snp+mnp ratio","partial genotype","total haploid","haploid snps","haploid mnps","haploid insertions","haploid deletions","haploid indels","no genotypes","missing genotype","sample name","haploid symbolic svs","complex called","de novo genotypes","total polyploid","polyploid snps","polyploid mnps","polyploid insertions","polyploid deletions","polyploid indels","md5key"
"60b6baa0fb52325f031b9ae26cadc1fc/150424-HG005-Homogeneity-FCB-Combined_S1.SV.vcf","1455","6142","0","0","1009","3140","969","62","962","0","- (0/0)","2.33 (4297/1845)","- (0/0)","- (0/0)","1.84 (654/355)","2.17 (2149/991)","2.34 (679/290)","- (62/0)","3.60 (753/209)","0.32 (1009/3140)","- (5118/0)",,,,,,,,,,,,,,,,,,,,,"60b6baa0fb52325f031b9ae26cadc1fc"
"3409dc5070c711f060cec6e8571076f0/NHGRI_PBRefine1.0_AJTrio.091316_mod.MtSinai_Falcon_HG003.vcf.gz","0","1851","1851",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3409dc5070c711f060cec6e8571076f0"
"6fabc96950d1df990c4ac9f24f0d165e/HG002-Run2_S1.vcf","1485610","4132885","3351947","0","374275","388200","18463","0","156","156","0","0","0","0","2.09 (3191886/1530629)","1.45 (2448098/1684631)","1.45 (1984398/1367393)","- (0/0)","1.32 (212949/161326)","1.49 (232288/155912)","- (18463/0)","0.96 (374275/388200)",,,,,,,,,,,,,,,,,,,,"6fabc96950d1df990c4ac9f24f0d165e"
"cfc3bd321430d1f97b52ff9d41d243fd/HG2_IFid_pseu2.1_0118.l100c500.no_ns.vcf.gz","0","11839","0","0","2468","7815","1556","0","11732","0","0","2437","7759","1536","- (0/0)","- (107/0)","- (0/0)","- (0/0)","- (31/0)","- (56/0)","- (20/0)","0.32 (2468/7815)",,,,,,,,,,,,,,,,,,,,"cfc3bd321430d1f97b52ff9d41d243fd"
"f83ed41782bb6513163876ecc7837cd4/NISTIntegratedCalls_14datasets_131103_allcall_UGHapMerge_HetHomVarPASS_VQSRv2.18_all_nouncert_excludesimplerep_excludesegdups_excludedecoy_excludeRepSeqSTRs.vcf.gz","0","3339354","3137725","0","99947","100548","1132","2",,,"1.36 (1922888/1416464)","1.49 (1877753/1259972)","- (0/0)","0.30 (22861/77086)","0.27 (21142/79406)","- (1132/0)","0.99 (99947/100548)","0.06 (201627/3137725)",,,,,,,,,,,,,,,,,,,,,,,,"f83ed41782bb6513163876ecc7837cd4"
"d6d7db43a8a59d3e49eca087cca74ca2/HG006.GRCh38.gatk_hc.vcf.gz","374484","4836120","3973875","0","420019","408018","15107","94","19007",,"1.36 (2785937/2050089)","1.30 (2242696/1731179)","- (0/0)","1.53 (254256/165763)","1.66 (254871/153147)","- (15107/0)","1.03 (420019/408018)","0.21 (843144/3973875)",,,,,,,,,,,,,,,,,,,,,,,,"d6d7db43a8a59d3e49eca087cca74ca2"
"0b31e963af0de92001c4b9527b413666/bwa_freebayes.vcf.gz","2920778","5296793",,"3417405","63830","198917","235791","25733","1355117",,"82347","71437","980","4406","5191","333","2.11 (3202889/1519822)","1.58 (2364606/1494723)","1.57 (2041710/1304258)","1.84 (40693/22157)","1.59 (119352/75159)","1.68 (144429/86171)",,,,,,,,,,,,,,,,,,,,"0b31e963af0de92001c4b9527b413666"
"95b1b980f233b40d4c8b4510c6927bfc/fp_del_TR.vcf.gz","0","2602","0","0","0","2395","207","0",,,"- (0/0)","- (0/0)","- (0/0)","1.76 (1526/869)","0.70 (85/122)","0.00 (0/2395)","- (2602/0)",,,,,,,,,,,,,,,,,,,,,,,,,"95b1b980f233b40d4c8b4510c6927bfc"
"5d09a50910ee452a879d5a90d22dee68/NIST_RTG_PlatGen_merged_highconfidence_v0.2_Allannotate.vcf.gz","0","3315166","817038","2853848","24047","190922","197084","49265","0","401","61.8% (2047247/3315166)","2.13 (2684994/1259523)","1.67 (2071450/1243716)","1.62 (1764919/1088929)","1.95 (15907/8140)","1.78 (122207/68715)","1.97 (130806/66278)","3.23 (37611/11654)","0.97 (190922/197084)","0.15 (437271/2877895)",,,,,,,,,,,,,,,,,,,,,,"5d09a50910ee452a879d5a90d22dee68"
"01b7a1479ba697afbf8b55d5ebbd9fc7/variants.vcf.gz","117939","4751","0","0","0","0","0","4751","0",,"1.82 (3069/1682)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","1.82 (3069/1682)","- (0/0)","- (0/0)",,,,,,,,,,,,,,,,,,,,,,,"01b7a1479ba697afbf8b55d5ebbd9fc7"
"8de677ce874efdd0e72060234ce4b732/HG2_Dove_MHAP_0417.l100c500.vcf.gz","0","12204","0","0","5810","4240","2154","0","10936","0","0","5300","3811","1825","- (0/0)","- (1268/0)","- (0/0)","- (0/0)","- (510/0)","- (429/0)","- (329/0)","1.37 (5810/4240)",,,,,,,,,,,,,,,,,,,,"8de677ce874efdd0e72060234ce4b732"
"9f2f1fce0bbeacb5e67b39cd9183e48b/HG002_grch37_dipcall.vcf.gz","483363","4882570","3931503","0","458017","445492","17752","0","29806",,"1.97 (3675086/1860805)","1.43 (2872475/2007767)","1.45 (2329981/1601522)","- (0/0)","1.20 (249717/208300)","1.25 (247552/197940)","3549.40 (17747/5)","1.03 (458017/445492)","0.23 (921261/3931503)",,,,,,,,,,,,,,,,,,,,,,,"9f2f1fce0bbeacb5e67b39cd9183e48b"
"747aa87aa2ce38fe12e02ab6571c08d1/HG002.commonlaw.deletions.bilkentuniv.082815_withID_gt19bp.sort.vcf.gz","0","816","816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"747aa87aa2ce38fe12e02ab6571c08d1"
"4e2102035c0b940a23f93a2ef445909b/NA24631_LongRanger_large_svs.vcf.gz","6140","35","0","0","0","0","0","2","33","0","- (21/0)","- (0/0)","4.00 (28/7)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","0.00 (0/2)","5.60 (28/5)","- (0/0)","- (0/0)",,,,,,,,,,,,,,,,,,,,"4e2102035c0b940a23f93a2ef445909b"
"5af6407b1ed684560fadefa4b8937156/HG3_Dovetail_MHAP.l100c500.no_ns_refalt_head.vcf.gz","0","6586","0","0","2946","2674","966","0","2823","0","0","316","1696","811","- (0/0)","- (3763/0)","- (0/0)","- (0/0)","- (2630/0)","- (978/0)","- (155/0)","1.10 (2946/2674)",,,,,,,,,,,,,,,,,,,,"5af6407b1ed684560fadefa4b8937156"
"4e2359b296dcd669dc3111e078ad8bb7/HG003.140701_D00360_0032_AHA0KGADXX.realigned.recalibrated.delly.noLowQual.noIMPRECISE_withID_gt19bp.sort.vcf.gz","0","955","0","0","0","0","0","946","9",,"1.56 (576/370)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","- (0/0)","1.56 (576/370)","- (0/0)","- (0/0)",,,,,,,,,,,,,,,,,,,,,,,"4e2359b296dcd669dc3111e078ad8bb7"
"de9df3c1d40c4a8c118f905495c14de3/HG004run02_S1.genome.vcf.gz","5810582","38472814","3372199","0","376005","393128","19114","34312368","75","75","0","0","0","0","2.08 (3143937/1508319)","1.62 (2574288/1586083)","1.64 (2095578/1276546)","- (0/0)","1.39 (218832/157173)","1.58 (240764/152364)","- (19114/0)","0.96 (376005/393128)",,,,,,,,,,,,,,,,,,,,"de9df3c1d40c4a8c118f905495c14de3"
"97932e02ba73ee2b1383c88f640e7afa/HG004.140818_D00360_0046_AHA5R5ADXX.realigned.recalibrated.breakseq_pass_refalt_head.vcf.gz","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97932e02ba73ee2b1383c88f640e7afa"
"979d480210d53a24c05c26ffedcc95aa/HG005.CHM13Y_EBV.pbsv.vcf.gz","42","63216","0","0","20708","36605","0","142","5761","0","- (0/0)","4.08 (50763/12453)","- (0/0)","- (0/0)","3.46 (16067/4641)","4.39 (29816/6789)","- (0/0)","16.75 (134/8)","4.68 (4746/1015)","0.57 (20708/36605)","- (57313/0)",,,,,,,,,,,,,,,,,,,,,"979d480210d53a24c05c26ffedcc95aa"
"72395c5e717316b491fa3967a75c7f87/HG2_PB_Bionano.l100c500.no_ns.vcf.gz","0","10307","0","0","5672","3394","1241","0","10262","0","0","5653","3378","1231","- (0/0)","- (45/0)","- (0/0)","- (0/0)","- (19/0)","- (16/0)","- (10/0)","1.67 (5672/3394)",,,,,,,,,,,,,,,,,,,,"72395c5e717316b491fa3967a75c7f87"
"a0dc8823bc25946d65194b33570b8b16/NA24385.GRCh38.phased_variants.reformatted.vcf.gz","985508","845714","362","0","408310","425734","11308","0",,,"1.58 (517348/328366)","0.06 (22/340)","- (0/0)","1.38 (236530/171780)","1.72 (269488/156246)","- (11308/0)","0.96 (408310/425734)","2335.23 (845352/362)",,,,,,,,,,,,,,,,,,,,,,,,"a0dc8823bc25946d65194b33570b8b16"
"70c3020e6b57c2acdc384fe4a7d3edb0/mother_hap_refsplit20160129_1kb_bionano_refalt_head.vcf.gz","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70c3020e6b57c2acdc384fe4a7d3edb0"
